Country Name,Value,Year,Source
"Afghanistan",413.757894705303,2023,PerCapita
"Africa Eastern and Southern",1615.39635562849,2024,PerCapita
"Africa Western and Central",1411.33702938476,2024,PerCapita
"Albania",11377.7757431099,2024,PerCapita
"Algeria",5752.99076651465,2024,PerCapita
"American Samoa",18017.4589383973,2022,PerCapita
"Andorra",49303.6491674336,2024,PerCapita
"Angola",2665.87444776753,2024,PerCapita
"Antigua and Barbuda",23542.4526945578,2024,PerCapita
"Arab World",7583.81170078145,2024,PerCapita
"Argentina",13969.7836603737,2024,PerCapita
"Armenia",8556.21406956719,2024,PerCapita
"Aruba",39498.5941293797,2024,PerCapita
"Australia",64603.9856308464,2024,PerCapita
"Austria",58268.8787651601,2024,PerCapita
"Azerbaijan",7283.8499076179,2024,PerCapita
"Bahrain",29653.5682731534,2024,PerCapita
"Bangladesh",2593.41611680774,2024,PerCapita
"Barbados",26544.8707282621,2024,PerCapita
"Belarus",8317.63399913792,2024,PerCapita
"Belgium",56614.5679499036,2024,PerCapita
"Belize",7681.24400583113,2024,PerCapita
"Benin",1485.38018885134,2024,PerCapita
"Bermuda",142855.374713782,2024,PerCapita
"Bhutan",3831.32535494609,2023,PerCapita
"Bolivia",4421.16609889999,2024,PerCapita
"Bosnia and Herzegovina",9358.78768951134,2024,PerCapita
"Botswana",7695.75319445165,2024,PerCapita
"Brazil",10310.5488778166,2024,PerCapita
"Brunei",33153.4738913513,2024,PerCapita
"Bulgaria",17596.0173663521,2024,PerCapita
"Burkina Faso",981.992649769081,2024,PerCapita
"Burundi",219.424830882698,2024,PerCapita
"Cambodia",2627.87969756224,2024,PerCapita
"Cameroon",1830.00833684727,2024,PerCapita
"Canada",54340.3477224733,2024,PerCapita
"Cape Verde",5192.48157325878,2024,PerCapita
"Caribbean small states",19903.8112311908,2024,PerCapita
"Cayman Islands",99143.5180243123,2023,PerCapita
"Central African Republic",516.160999996036,2024,PerCapita
"Central Europe and the Baltics",24604.8068595604,2024,PerCapita
"Chad",961.55975562506,2024,PerCapita
"Channel Islands",74585.5224096294,2023,PerCapita
"Chile",16709.8893972307,2024,PerCapita
"China",13303.1481543868,2024,PerCapita
"Colombia",7919.20886825345,2024,PerCapita
"Comoros",1662.75663312504,2024,PerCapita
"Costa Rica",18587.1532203482,2024,PerCapita
"Croatia",24050.4397933135,2024,PerCapita
"Cuba",9605.27914559614,2020,PerCapita
"Curacao",22832.8953958667,2024,PerCapita
"Cyprus",38674.29296875,2024,PerCapita
"Czech Republic",31823.3078290564,2024,PerCapita
"Democratic Republic of the Congo",649.383338556725,2024,PerCapita
"Denmark",71026.4832271897,2024,PerCapita
"Djibouti",3552.72335079222,2024,PerCapita
"Dominica",10405.2787777582,2024,PerCapita
"Dominican Republic",10875.6618443092,2024,PerCapita
"Early-demographic dividend",4450.18711937385,2024,PerCapita
"East Asia & Pacific",13405.735673015,2024,PerCapita
"East Asia & Pacific (excluding high income)",10396.7957405051,2024,PerCapita
"East Asia & Pacific (IDA & IBRD countries)",10513.9529323033,2024,PerCapita
"East Timor",1331.9705130185,2024,PerCapita
"Ecuador",6874.705739766,2024,PerCapita
"Egypt",3338.47371395895,2024,PerCapita
"El Salvador",5579.65969165029,2024,PerCapita
"Equatorial Guinea",6745.40013244916,2024,PerCapita
"Eritrea",1.982,2018,IMF
"Estonia",31428.3547816104,2024,PerCapita
"Ethiopia",1133.88279681719,2024,PerCapita
"Euro area",46945.4188234427,2024,PerCapita
"Europe & Central Asia",31555.5207890657,2024,PerCapita
"Europe & Central Asia (excluding high income)",9793.69205809432,2024,PerCapita
"Europe & Central Asia (IDA & IBRD countries)",13337.4386956337,2024,PerCapita
"European Union",43304.9642561331,2024,PerCapita
"Faroe Islands",74119.6607553879,2024,PerCapita
"Fiji",6425.74151715712,2024,PerCapita
"Finland",53149.7671934051,2024,PerCapita
"Fragile and conflict affected situations",1527.95809514037,2024,PerCapita
"France",46103.0840855884,2024,PerCapita
"French Polynesia",22439.8838746025,2024,PerCapita
"Gabon",8230.04311451151,2024,PerCapita
"Gambia",871.340291776294,2024,PerCapita
"Georgia",9241.49122313713,2024,PerCapita
"Germany",56103.7323182554,2024,PerCapita
"Ghana",2390.77237652715,2024,PerCapita
"Greece",24626.1481858973,2024,PerCapita
"Greenland",58498.9707973609,2023,PerCapita
"Grenada",11705.0902976658,2024,PerCapita
"Guam",41833.1517132825,2022,PerCapita
"Guatemala",6150.02571438505,2024,PerCapita
"Guinea",1694.95375862193,2024,PerCapita
"Guinea Bissau",1007.74151728028,2024,PerCapita
"Guyana",29675.2443873316,2024,PerCapita
"Haiti",2142.62330526788,2024,PerCapita
"Heavily indebted poor countries (HIPC)",1216.37508472564,2024,PerCapita
"High income",50302.6052129513,2024,PerCapita
"Honduras",3426.43483328923,2024,PerCapita
"Hong Kong",54074.6928519479,2024,PerCapita
"Hungary",23292.3263882478,2024,PerCapita
"IBRD only",8219.91265703844,2024,PerCapita
"Iceland",86040.5309851288,2024,PerCapita
"IDA & IBRD total",6327.14399704869,2024,PerCapita
"IDA blend",1650.63788113049,2024,PerCapita
"IDA only",1398.11181264033,2024,PerCapita
"IDA total",1485.92227405633,2024,PerCapita
